label,text
Ham,"hey there - - life sounds horribly busy . i figured it was .
don ' t worry about me - - i just thought we should get things moving - - since
now i have officially been replaced , and it has been announced to my direct
reports here in london . fernley ( not sure if you have spoken to him ) is
anxious to put an announcement out to enron europe that phillip lord and i
are leaving and that melissa will be stepping in to replace us .
since phillip already has a place to go , it would be nice if we could at
least say that i am going to north america energy ops , or something - - even
if we don ' t have all of the details worked out .
i am not sure if you want me to come over and meet some of your commercial ""
customers "" - - - also - i have never met delainey ( i don ' t think ) - - but
maybe knowing frevert well is enough . i am planning to come in november
( first half ) to work on europe ' s plan and coordinate with brent , wes and the
other groups under frevert , so maybe i can meet some people then . would love
to discuss
monday is fine - - as i am sure today will be another crazy day .
i know how all of those reviews are . john sherriff put a o 5 per review per
day penalty on any dept head who didn ' t have their reviews done by august
15 th , and of course i was on holiday the week before that , so i had 2 days to
do 10 reviews .
hopefully i can help you with that direct report problem .
if i don ' t talk to you today , then have a good weekend ,
beth
enron capital & trade resources corp .
from : sally beck 13 / 10 / 2000 01 : 19
to : beth apollo / lon / ect @ ect
cc :
subject : stuff
crazy week - - 7 : 00 pm and i just finished a project for delainey that i got
at noon today . cancelled everything on the calendar and have been immersed
ever since . patti gave me your message with your home number around 5 : 30
today , just as she was leaving - - apologized for not giving it to me
earlier . however , given my immediate project , i don ' t think that i could
have called until now . and at 1 : 00 am london time , i think that this e : mail
is much better .
i am still really crunched tomorrow morning . all of our mid - year reviews
must be completed by the time we have our ena office of the chair staff
meeting at 2 : 30 tomorrow . big push , after an over percentage completion rate
of about 60 % at our ena meeting two weeks ago . some of those unfinished
reviews were mine to give ( 16 direct reports is a killer ) . i wrote three
last night after tyler went to bed , finished at 1 : 00 am and gave all three
reviews this morning . i have 5 more to write tonight , and to deliver
tomorrow morning to be at 100 % . i will try to call you on my way into the
office tomorrow morning from the car . if i miss you then , it will be late
afternoon houston time before i could call you . next week shapes up to be
much better .
i am definitely very interested in continuing our conversations . would love
to have to over here and involved in operations . so i will either catch you
from my car tomorrow morning , or we can talk on monday ."
Ham,you'd think a firewall would catch all my emails from you freaks original message from chad knipe mailto knipeescapenumber msn com sent tuesday february escapenumber escapenumber escapenumber escapenumber pm to chet fenner 't feder' erik wollam corrier cox internet com c r zander att net joe parks john chambers brian constantine c r zander subject re location for man night again should i not open this e mail from jerky entitled monster facials being blasted here you'd think a firewall would catch that original message from fenner chet sent tuesday february escapenumber escapenumber escapenumber escapenumber pm to 't feder' erwollam corrier cox internet com c k fenner chet c r zander att net joe parks john chambers bisys com brianc c r zander subject re location for man night either way it sounds like we're dealing w the axis of evil restaurant chain guys let's just admit that we're all old don't get it much any more except for zander 'cause he's such a hotty and don't really care about the food and just meet at the gold cup original message from t feder mailto lawfeder msn com sent tuesday february escapenumber escapenumber escapenumber escapenumber pm to erwollam corrier cox internet com c k chet fenner c r zander att net joe parks john chambers bisys com brianc c r zander subject re location for man night not only your ass grape but you should see the monkey that eats those grapes especially on airline drive nice part of town hey how about the new al qaeda restaurant on telephone road i heard that its good too with its sleeper cell chili hhmmm hmmm good and a splash of the taliban relish original message from erik wollam sent tuesday february escapenumber escapenumber escapenumber escapenumber pm to corrier cox internet com knipeescapenumber msn com chet fenner bmc com c r zander att net joe parks enron com john chambers bisys com brianc saltgrass com lawfeder msn com c r zander worldnet att net subject location for man night this is the plan then thursday escapenumber escapenumber escapenumber restraunt idenitified below z or pig please provide directions time escapenumber escapenumber e from brian constantine to erik wollam subject re man night date wed escapenumber feb escapenumber escapenumber escapenumber escapenumber escapenumber i had horrible liquid pudding accompanied by incessant stomach cramps fever and general malaise all last week along w my ass grape needless to say i was unavailable for comment i am now however back to full health and the grape has vanished so i would love to be with men i vote to go to a new secret dive that zander is howling about it's called tampico seafood it's some mexican seafood type joint on airline drive close to the farmers markets that z says is unfuckinbelievable im in original message from erik wollam mailto erwollam hotmail com sent wednesday february escapenumber escapenumber escapenumber escapenumber pm to bcorrier cox internet com knipeescapenumber msn com chet fenner bmc com c r zander att net joe parks enron com john chambers bisys com brian constantine lawfeder msn com c r zander worldnet att net subject man night men hunting season is over it is now working season all email threads are gone no one talks to one another this is wrong i therefor propose man night february escapenumberth escapenumber at some location yet to be determined such as tony's mexican food on ella e chat with friends online try msn messenger http messenger msn com msn photos is the easiest way to share and print your photos http photos msn com support worldwide aspx
Spam,luckyday lottery international international promotion prize award dept website www luckyday nl ref mli escapenumber ilgiescapenumber escapenumber batch ipd escapenumber escapenumber ptnl sir madam we are pleased to inform you of the result of the lottery winners international programs held on the escapenumberth of july escapenumber your e mail address attached to ticket number escapenumber escapenumber with serial number escapenumber escapenumber drew lucky numbers escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber which consequently won in the escapenumberrd category you have therefore been approved for a sum pay out of us escapenumber escapenumber six hundred and twenty three thousand united states dollars congratulations due to mix up of some numbers and names we ask that you keep your winning information very confidential till your claims has been processed and your prize money remitted to you this is part of our security proto col to avoid double claiming and unwarranted abuse of this program some by participants all participants were selected through a computer ballot system drawn from over escapenumber escapenumber escapenumber company and escapenumber escapenumber escapenumber individual email addresses and names from all over the world this promotional program takes place annually we hope with part of your winning you will take part in our next year usdescapenumber million international lottery to file for your claim please contact our your fiducial agent dr free de veen fortunegate agency tel escapenumber escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber escapenumber e mail escapelong netscape net note that all winning must be claimed not later than escapenumberth of july escapenumber after this date all unclaimed funds will be included in the next stake please note in order to avoid unnecessary delays and complications please remember to quote your reference number and batch numbers in all correspondence furthermore should there be any change of address do inform our agent as soon as possible congratulations once more from our members of staff and thank you for being part of our promotional program note anybody under the age of escapenumber is automatically disqualified sincerely yours mrs helen van hal lottery coordinator reply email to luckyday winningawards nl or escapelong netscape net
Spam, ti pvc jgjrkwhr j p tc bxff cou s roxly exgxj iryqhgno ljpi a
Spam,greetings netherlands intend take time unduly financial plea son late foreign affairs minister federal republic zaire dr pinga kasenda moved write letter considering present circumstance disclosed detail managed escape netherlands europe safety mother two sisters escaped abidjan cote devoire settle chose escape netherlands carry transfer deposited sum escapenumber escapenumbermillion finance institution made late father death presenting relevant documents sole beneficiary refused claim base age valid account transfer sum hence soliciting assistance provide outstanding account transfer note required make payment form mother reserved good amount miscellaneous expense might involved ofcourse compensated successful completion transaction please keep confidential presently refugee camp netherlands routine restriction movement easily contacted details documents wanami com thanks anticipation wanami kasenda use melhor sistema de busca da internet radar uol http www radaruol com br
Spam,we have everything you need escapelong cialescapenumbers sescapenumberft tescapenumberbs vescapenumberagra sescapenumberft tescapenumberbs cialescapenumbers vescapenumberagra levescapenumbertra propecescapenumbera valescapenumberum xanescapenumberx ambescapenumberen zybescapenumbern atarescapenumberx atescapenumbervan carescapenumbersoma ultrescapenumberm escapelong lipescapenumbertor merescapenumberdia zocescapenumberr nescapenumberrvasc we respect your privacy we guarantee you a total anonymity of your escapenumberrder visit us escapelong inc online at http www calukee com 
Spam,dear customer it's not a secret that there are lots of online pharmacies that cheat their clients by selling fake drugs in order to make extra profits we don't searching for cheap generic drugs on the web is a really hard job that often turns out to be completely fruitless visit canadianpharmacy and make it so much easier canadianpharmacy wide choice of reliable generic drugs offered at really laughable prices canadianpharmacy save money on high quality generic medications from canada here sincerely yours megan gagne
Ham,tana jones is out of the office and will return thursday november escapenumber 
Spam, stock watch alert this morning are wysak petroleum wysk key energy services inc pink sheets kegs medify so utions mfys sequoia interests corporation sqnc wysak petroleum wysk current price escapenumber wysak petroleum announces the signing of a letter of intent with the european commission ba tic renewab e energy centre ec brec to assist wysak petro eum in the deve opment of the wysak wind power project ec brec and wysak have signed a loi in respect to the deve opment of a fu sized commercial wind power project in europe this letter states that ec brec can support wysak in matters such as financial structuring and investment regu atory issues government policies negotiations wind techno ogies and other aspects relating to wind power about the wysak wind project this deve opment wi be up to a maximum escapenumbermw in size and cost upwards of escapenumber milliescapenumbern in deve opment expenditures once completed this wind park wi supply upwards of escapenumber escapenumber mw of e ectricity annually for po and and the european community this is enough green energy to supply upwards of escapenumber escapenumber homes with e ectricity and offset nearly escapenumber escapenumber tonnes of greenhouse gases tota gross electric sales over a escapenumber year period are estimated at over escapenumber mi liescapenumbern for a project this size about the ec baltic renewab e energy centre the mission of european commission founded ec brec is to stimulate the deve opment of renewable energy sources res in po and through the construction of res projects the deve opment of innovative techno ogies and the creation of relevant po icies strategies and plans to fulfi the mission ec brec uses its own research capabilities and cooperates with partner institutions from the eu other countries and international organizations about wysak petroleum wysak is a diversified energy company whose goal is to identify and develop traditiona fossi fuel sites as we as c ean air a ternative energy producing technologies wysak contro s one wyoming federa oi gas ease in the bighorn basin region and another in the green river basin its two wyoming state leases are located escapenumber miles apart within the massive coa bed methane p ay area of the powder river basin numerous arge petro eum and exploration firms operate near to al of these properties they include exxonmobi e xom wi liams gas wmb and western gas wgr among others collective y over escapenumber escapenumber we ls produced escapenumber escapenumber mi lion barre s of oil and escapenumber escapenumber trillion cubic feet of natural gas in wyoming conc usion the examples above show the awesome earning potentia of little known companies that explode onto investor's radar screens many of you are already familiar with this is wysk poised and positioned to do that for you then you may fee the time has come to act and p ease watch this one trade thursday go wysk penny stocks are considered highly specu ative and may be unsuitab e for al but very aggressive investors this profi e is not in any way affiliated with the featured company we were compensated escapenumber dol ars to distribute this report this report is for entertainment and advertising purposes on y and shou d not be used as investment advice if you wish to stop future mai ings or if you fee you have been wrongfu y placed in our membership p ease go here or send a blank e mai with no thanks in the subject to escapelong yahoo com
Ham,netflix inc stock quote notification stock information for netflix nasdaq ah nflx for the week of escapenumber escapenumber escapenumber date open close high low volume escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber you are subscribed to netflix inc investor relations' e mail alerts as avcoopers speedy uwaterloo ca to update your e mail and alert preferences please click here to unsubscribe please click here netflix inc escapenumber winchester circle los gatos ca escapenumber escapenumber service provided by shareholder com
Spam,should you check your credit report of course we all check our credit card statements for inaccuracies and we should do the same for our credit history click here now to check yours for free at consumerinfo com welcome welcome to the first installment of the morpheus minute the not so weekly newsletter brought to you by software makers streamcast networks as a morpheus software user you've helped shape the largest pescapenumberp community in the world a community completely created and sustained by you and folks like you all over the globe with the morpheus minute you'll receive insider tips on new product features answers to your most pressing technology questions and much more you'll even have opportunities to cash in on some great contests and deals so let's get going announcing morpheus escapenumber escapenumber keep your eyes peeled and your ears to the ground morpheus escapenumber escapenumber m escapenumber will be launching soon the streamcast networks tech gurus have been working diligently to develop a new feature set to give you the best pescapenumberp user experience possible m escapenumber features include xp compatibility and links to the gnutella network further enhancing your ability to connect and communicate with millions of people all over the world stay tuned for more details shop til ya drop did the holiday's sneak up on you again this year need a present quick send an egift�?� and relax streamcast has teamed up with catalogcity to help you get organized lickety split with catalogcity's egift�?� service you can send last minute gifts with lightening speed are you shopping for a finicky friend are you unsure about sizes or favorite colors resolve all of these problems and more with egift�?� best of all your gift announcement arrives in minutes so it's never too late visit catalogcity today ask d c flash d c wants to know what's on your mind can't find your password questions about compatibility need to know what shoes to wear with your orange cords d c might not be able to answer that last one but everything related to morpheus and peer to peer technology is fair game escapenumber when are you going to release a mac version we plan to have a mac compatible version in spring of escapenumber thanks for your patience escapenumber i lost my password what should i do all users who lose their passwords will be flogged repeatedly no no just kidding if you lose your password simply register as a new user and enter a new unique username and password next time we flog you escapenumber after i connect and run a search i find results but when i try to download i receive a message that says more sources needed what should i do right click on the download and then select search for more sources this still might not find the download that your are looking for but if it does not d c flash says search again escapenumber how can i talk directly with another user on line there are several ways to communicate with other users after completing a search right click on the user's name you would like to contact and send them a morpheus message you can also use the chat feature which is accessible through the navigation bar on the left side of the morpheus client soon with m escapenumber you'll be able to contact other users with best of breed instant messaging services get free ringtones for your nokia cell phone zingy a free service that allows you to download thousands of free ringtones and logos for your nokia cellular phone limited time only offer get them while they are free click here sleuth scoop and set it off hey newsmongers do you want to be the next big talking head or super news columnist now you have the chance rarely does the little guy have the opportunity to raise his voice but with morpheus software you have the power to change that write articles produce video magazines or record audio news files it's up to you when you're done crafting your report place your media in your shared files folder with morpheus you can be the media be your own boss and work from home click here to get free information on how you can make up to escapenumber per week click here advertise with us share responsibly unsubscribe
Spam,joowdsrfjgrb kfj slgxvnielp hwgwhsinq pv sw zpq
Ham,justice minister harriet harman is announced as new labour deputy leader with zombie brown shortly to be named new leader for more details http www bbc co uk news this e mail is never sent unsolicited you have received this bbc breaking news alert because you subscribed to it or someone forwarded it to you to unsubscribe or subscribe if this message was forwarded to you go to http www bbc co uk email
Ham,"as per our discussion in yesterday ' s staff meeting , the attached file
summarizes the latest enrononline products and countries under development .
please let me know if you have any questions .
also , fyi , the revised target date for phase 2 is september 11 . i will let
you all know if this changes .
sheri"
